LAST SEEN   TYPE      REASON                    OBJECT                                       MESSAGE
83m         Normal    SuccessfulCreate          replicaset/jaeger-677b666bbc                 Created pod: jaeger-677b666bbc-xjm2r
83m         Normal    ScalingReplicaSet         deployment/jaeger                            Scaled up replica set jaeger-677b666bbc from 0 to 1
83m         Normal    Scheduled                 pod/jaeger-677b666bbc-xjm2r                  Successfully assigned otel-lab/jaeger-677b666bbc-xjm2r to kube-w1
83m         Normal    Killing                   pod/jaeger-554689987c-4gjwq                  Stopping container jaeger
83m         Normal    SuccessfulDelete          replicaset/jaeger-554689987c                 Deleted pod: jaeger-554689987c-4gjwq
83m         Normal    ScalingReplicaSet         deployment/jaeger                            Scaled down replica set jaeger-554689987c from 1 to 0
60m         Normal    Pulling                   pod/jaeger-677b666bbc-xjm2r                  Pulling image "jaegertracing/all-in-one:1.58"
60m         Normal    Pulled                    pod/jaeger-677b666bbc-xjm2r                  Successfully pulled image "jaegertracing/all-in-one:1.58" in 3.255s (3.255s including waiting). Image size: 33235863 bytes.
60m         Normal    Created                   pod/jaeger-677b666bbc-xjm2r                  Container created
60m         Normal    Started                   pod/jaeger-677b666bbc-xjm2r                  Container started
48m         Normal    Started                   networkchaos/latency-service-b-200ms         Experiment has started
48m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update finalizer of resource
48m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update desiredPhase of resource
48m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update records of resource
48m         Normal    Applied                   networkchaos/latency-service-b-200ms         Successfully apply chaos for otel-lab/service-b-6768ff647d-jb9hx
48m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update records of resource
48m         Normal    FinalizerInited           networkchaos/latency-service-b-200ms         Finalizer has been inited
48m         Normal    Updated                   podnetworkchaos/service-b-6768ff647d-jb9hx   Successfully update ObservedGeneration and FailedMessage of resource
48m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update records of resource
48m         Normal    Updated                   podnetworkchaos/service-b-6768ff647d-zjf2c   Successfully update ObservedGeneration and FailedMessage of resource
48m         Normal    Applied                   networkchaos/latency-service-b-200ms         Successfully apply chaos for otel-lab/service-b-6768ff647d-zjf2c
43m         Normal    Recovered                 networkchaos/latency-service-b-200ms         Successfully recover chaos for otel-lab/service-b-6768ff647d-jb9hx
43m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update records of resource
43m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update records of resource
43m         Normal    Updated                   networkchaos/latency-service-b-200ms         Successfully update desiredPhase of resource
