LAST SEEN   TYPE      REASON                    OBJECT                                              MESSAGE
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-96wsl                   Successfully assigned otel-lab/data-service-7fd57b5499-96wsl to kube-w2
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-l86c5
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-wwshb                   Successfully assigned otel-lab/data-service-7fd57b5499-wwshb to kube-w1
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-m6646                   Successfully assigned otel-lab/data-service-7fd57b5499-m6646 to kube-w2
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-l86c5                   Successfully assigned otel-lab/data-service-7fd57b5499-l86c5 to kube-w2
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-bgwpm
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-bgwpm                   Successfully assigned otel-lab/data-service-7fd57b5499-bgwpm to kube-w2
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-q6rjh
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-wwshb
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-7ls75
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-7vdlk
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-m6646
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-7ls75                   Successfully assigned otel-lab/data-service-7fd57b5499-7ls75 to kube-w1
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-q6rjh                   Successfully assigned otel-lab/data-service-7fd57b5499-q6rjh to kube-w1
32m         Normal    SuccessfulCreate          replicaset/data-service-7fd57b5499                  Created pod: data-service-7fd57b5499-96wsl
32m         Normal    Scheduled                 pod/data-service-7fd57b5499-7vdlk                   Successfully assigned otel-lab/data-service-7fd57b5499-7vdlk to kube-w1
32m         Normal    Started                   pod/data-service-7fd57b5499-7ls75                   Container started
32m         Normal    Pulled                    pod/data-service-7fd57b5499-m6646                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
32m         Normal    Pulled                    pod/data-service-7fd57b5499-7vdlk                   Container image "192.168.0.20:30500/data-service:1.0.1" already present on machine and can be accessed by the pod
32m         Normal    Created                   pod/data-service-7fd57b5499-7vdlk                   Container created
